taxon	min	max
Pheidole_cordata	33.9	38.0
Pheidole_pallidula	5.332999999999999	8.7
Pheidole_primigenia	13.82	20.44
Pheidole_rasnitsyni	0.0	0.0117
Pheidole_tertiaria	33.9	37.2
Pheidole_tethepa	13.82	20.44
Plesiomyrmex_tubulatus	33.9	38.0
Podomyrma_mayri	5.332999999999999	11.607999999999999
Pogonomyrmex_fossilis	33.9	37.2
Quineangulicapito_fushunensis	48.6	55.8
Sphaerogasterites_longipetiolatus	48.6	55.8
Stenamma_berendti	33.9	38.0
Stigmomyrmex_venustus	33.9	38.0
Stiphromyrmex_robustus	33.9	38.0
Strumigenys_electrina	13.82	20.44
Strumigenys_pilosula	13.82	20.44
Strumigenys_poinari	13.82	20.44
Strumigenys_schleeorum	13.82	20.44
Temnothorax_glaesarius	33.9	38.0
Temnothorax_gracilis	33.9	38.0
Temnothorax_hystriculus	33.9	38.0
Temnothorax_longaevus	33.9	38.0
Temnothorax_petiolata	33.9	38.0
Temnothorax_placivus	33.9	38.0
Temnothorax_praecreolus	13.82	20.44
Tetramorium_kulickae	33.9	38.0
Tetramorium_paraarmatum	33.9	38.0
Trachymyrmex_primaevus	13.82	20.44
Cephites_fragilis	11.607999999999999	12.7
Cephites_oeningensis	11.607999999999999	12.7
Paraponera_dieteri	13.82	20.44
Afropone_oculata	89.8	93.9
Afropone_orapa	89.8	93.9
Anochetus_ambiguus	13.82	20.44
Anochetus_brevidentatus	13.82	20.44
Anochetus_conisquamis	13.82	20.44
Anochetus_corayi	13.82	20.44
Anochetus_dubius	13.82	20.44
Anochetus_exstinctus	13.82	20.44
Anochetus_intermedius	13.82	20.44
Anochetus_lucidus	13.82	20.44
Archiponera_wheeleri	33.9	37.2
Austroponera_schneideri	20.44	23.03
Cephalopone_grandis	40.4	48.6
Cephalopone_potens	40.4	48.6
Cyrtopone_curiosa	40.4	48.6
Cyrtopone_elongata	40.4	48.6
Cyrtopone_microcephala	40.4	48.6
Cyrtopone_striata	40.4	48.6
Eogorgites_cingulatus	48.6	55.8
Eoponerites_longipetiolatus	48.6	55.8
Furcisutura_wanghuacunensis	48.6	55.8
Hypoponera_atavia	33.9	38.0
Hypoponera_scitula	2.588	5.332999999999999
Leptogenys_chinensis	11.607999999999999	15.97
Leptogenys_lacerata	11.607999999999999	15.97
Longicapitia_reticulata	48.6	55.8
Messelepone_leptogenoides	40.4	48.6
Odontomachus_paleomyagra	16.9	20.0
Odontomachus_pseudobauri	13.82	20.44
Odontomachus_spinifer	13.82	20.44
Pachycondyla_aberrans	33.9	38.0
Pachycondyla_baltica	33.9	38.0
Pachycondyla_calcarea	28.4	33.9
Pachycondyla_conservata	33.9	38.0
Pachycondyla_dubia	28.4	33.9
Pachycondyla_eocenica	40.4	48.6
Pachycondyla_globiventris	28.4	33.9
