SimID,Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Segregating-Sites,Max GC,Max GC Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min GC,Min GC Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Mean GC,Mean GC Excluding Ambiguous,Mean GC 1,Mean GC 1 Excluding Ambiguous,Mean GC 2,Mean GC 2 Excluding Ambiguous,Mean GC 3,Mean GC 3 Excluding Ambiguous,Var GC,Var GC Excluding Ambiguous,Var GC 1,Var GC 1 Excluding Ambiguous,Var GC 2,Var GC 2 Excluding Ambiguous,Var GC 3,Var GC 3 Excluding Ambiguous,Theta,Tajima-D,Tajima-Pi,Multinomial-Likelihood
141,35,971,1841,0.1034115,0.1211632,3,9,338,1832,512,8,0,0.08723748,0,0,26,449,0.01395065,-nan,0.0127225,-nan,0.01337143,-nan,0.01576,-nan,0.0008262703,-nan,0.000669108,-nan,0.0007607831,-nan,0.001091257,-nan,0.1779316,-3.243852,0.003876685,-8480.31
142,35,970,1841,0.1050107,0.1075328,3,8,321,1832,512,11,0,0.07119741,0,0,26,445,0.01315108,-nan,0.01309904,-nan,0.01268571,-nan,0.01366857,-nan,0.0007984225,-nan,0.0008226872,-nan,0.0007469543,-nan,0.0008468027,-nan,0.1779316,-3.23976,0.00409626,-8435.106
143,35,1016,1841,0.1066098,0.1276252,3,10,310,1832,512,12,0,0.09339159,0,0,26,448,0.01446847,-nan,0.01530123,-nan,0.01577143,-nan,0.01233143,-nan,0.0008636078,-nan,0.0009912865,-nan,0.001050984,-nan,0.000604473,-nan,0.1779316,-3.249321,0.003583262,-8133.486
144,35,970,1841,0.1092751,0.1373183,3,12,332,1832,512,10,0,0.09841443,0,0,26,470,0.01516144,-nan,0.01667047,-nan,0.01500571,-nan,0.01380571,-nan,0.0009179369,-nan,0.00113636,-nan,0.0008664759,-nan,0.0007844408,-nan,0.1779316,-3.24009,0.004078565,-8440.24
145,35,1014,1841,0.1108742,0.1292407,3,10,318,1832,512,10,0,0.09693053,0,0,26,464,0.01512717,-nan,0.01410315,-nan,0.01556571,-nan,0.01571429,-nan,0.0009337147,-nan,0.0008747057,-nan,0.0009123487,-nan,0.001043532,-nan,0.1779316,-3.243651,0.003887478,-8152.188
146,35,975,1841,0.1289979,0.1502423,3,10,332,1832,512,10,0,0.1174863,0,0,26,468,0.01774673,-nan,0.01433136,-nan,0.02049143,-nan,0.01842286,-nan,0.001276925,-nan,0.0008974702,-nan,0.001646831,-nan,0.001365437,-nan,0.1779316,-3.241282,0.004014577,-8476.047
147,35,985,1841,0.1103412,0.1256039,3,11,315,1832,512,8,0,0.08911974,0,0,26,448,0.01435425,-nan,0.01498174,-nan,0.01486857,-nan,0.01321143,-nan,0.0008527249,-nan,0.0009117356,-nan,0.0009032747,-nan,0.0007663561,-nan,0.1779316,-3.245979,0.00376257,-8372.334
148,35,965,1841,0.1140725,0.1357027,3,13,332,1832,512,10,0,0.1058952,0,0,26,467,0.01567164,-nan,0.01644226,-nan,0.01462857,-nan,0.01594286,-nan,0.001020888,-nan,0.001127265,-nan,0.0008911221,-nan,0.001062839,-nan,0.1779316,-3.245524,0.003786949,-8441.638
149,35,976,1841,0.1076759,0.1211632,3,10,321,1832,512,9,0,0.08562197,0,0,26,477,0.01457889,-nan,0.01717252,-nan,0.01449143,-nan,0.01206857,-nan,0.0009096811,-nan,0.00128429,-nan,0.0009399352,-nan,0.0005906554,-nan,0.1779316,-3.244519,0.003840911,-8342.768
150,35,1028,1841,0.1140725,0.1340872,3,12,303,1832,512,8,0,0.09369952,0,0,26,439,0.01536704,-nan,0.01578047,-nan,0.01428571,-nan,0.01603429,-nan,0.001016702,-nan,0.001044761,-nan,0.0009197451,-nan,0.001111426,-nan,0.1779316,-3.24798,0.003655193,-8114.809
